model,layer,projection,alpha,aggregate,n_matrices,gini_base_mean,gini_alpha_mean,delta_gini_mean,delta_gini_max,top_sv_rel_mean,top_sv_rel_max,top_sv_abs_delta_mean,top_sv_abs_delta_max,top_to_geomean_base_mean,top_to_geomean_base_max
llama31_8b_instruct,3,up_proj,0.2,dense,1,0.17636968195438385,0.20852316915988922,0.03215348720550537,0.03215348720550537,1.19451807495492,1.19451807495492,0.6005165576934814,0.6005165576934814,2.4320001247115695,2.4320001247115695
llama31_8b_instruct,4,down_proj,-0.2,dense,1,0.19315123558044434,0.15626922249794006,-0.03688201308250427,-0.03688201308250427,0.7587477103262203,0.7587477103262203,-1.1663079261779785,-1.1663079261779785,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,-0.15,dense,1,0.19315123558044434,0.16557995975017548,-0.02757127583026886,-0.02757127583026886,0.8129672248813502,0.8129672248813502,-0.9041895866394043,-0.9041895866394043,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,-0.1,dense,1,0.19315123558044434,0.17483097314834595,-0.01832026243209839,-0.01832026243209839,0.8710611964172443,0.8710611964172443,-0.6233406066894531,-0.6233406066894531,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,-0.05,dense,1,0.19315123558044434,0.18402165174484253,-0.009129583835601807,-0.009129583835601807,0.9333066889001704,0.9333066889001704,-0.3224215507507324,-0.3224215507507324,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,0.0,dense,1,0.19315123558044434,0.19315123558044434,0.0,0.0,1.0000000986343776,1.0000000986343776,4.76837158203125e-07,4.76837158203125e-07,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,0.05,dense,1,0.19315123558044434,0.2022191286087036,0.009067893028259277,0.009067893028259277,1.0714592255840216,1.0714592255840216,0.3454618453979492,0.3454618453979492,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,0.1,dense,1,0.19315123558044434,0.21122483909130096,0.01807360351085663,0.01807360351085663,1.1480250487919608,1.1480250487919608,0.7156109809875488,0.7156109809875488,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,0.15,dense,1,0.19315123558044434,0.2201678603887558,0.027016624808311462,0.027016624808311462,1.2300620222828869,1.2300620222828869,1.1122097969055176,1.1122097969055176,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,down_proj,0.2,dense,1,0.19315123558044434,0.22904767096042633,0.035896435379981995,0.035896435379981995,1.3179612313634042,1.3179612313634042,1.5371489524841309,1.5371489524841309,3.9766105106988223,3.9766105106988223
llama31_8b_instruct,4,up_proj,-0.2,dense,1,0.1706448197364807,0.13808944821357727,-0.03255537152290344,-0.03255537152290344,0.8292944485331988,0.8292944485331988,-0.5452568531036377,-0.5452568531036377,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,-0.15,dense,1,0.1706448197364807,0.146309956908226,-0.0243348628282547,-0.0243348628282547,0.8690236303460878,0.8690236303460878,-0.41835641860961914,-0.41835641860961914,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,-0.1,dense,1,0.1706448197364807,0.15447652339935303,-0.016168296337127686,-0.016168296337127686,0.9106560485117017,0.9106560485117017,-0.28537678718566895,-0.28537678718566895,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,-0.05,dense,1,0.1706448197364807,0.16258838772773743,-0.008056432008743286,-0.008056432008743286,0.9542830655406586,0.9542830655406586,-0.1460261344909668,-0.1460261344909668,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,0.0,dense,1,0.1706448197364807,0.1706448197364807,0.0,0.0,1.0000000746425741,1.0000000746425741,2.384185791015625e-07,2.384185791015625e-07,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,0.05,dense,1,0.1706448197364807,0.1786450743675232,0.00800025463104248,0.00800025463104248,1.0479072461518022,1.0479072461518022,0.15302228927612305,0.15302228927612305,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,0.1,dense,1,0.1706448197364807,0.18658851087093353,0.01594369113445282,0.01594369113445282,1.0981095275274348,1.0981095275274348,0.31337523460388184,0.31337523460388184,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,0.15,dense,1,0.1706448197364807,0.19447442889213562,0.023829609155654907,0.023829609155654907,1.1507168672810248,1.1507168672810248,0.48141026496887207,0.48141026496887207,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,4,up_proj,0.2,dense,1,0.1706448197364807,0.20230233669281006,0.031657516956329346,0.031657516956329346,1.2058444389043068,1.2058444389043068,0.6574952602386475,0.6574952602386475,2.5495077320105075,2.5495077320105075
llama31_8b_instruct,5,down_proj,-0.2,dense,1,0.19805355370044708,0.16036295890808105,-0.03769059479236603,-0.03769059479236603,0.7616590525531146,0.7616590525531146,-1.127027988433838,-1.127027988433838,3.90118736999464,3.90118736999464
llama31_8b_instruct,5,down_proj,-0.15,dense,1,0.19805355370044708,0.1698804646730423,-0.028173089027404785,-0.028173089027404785,0.8153056791633322,0.8153056791633322,-0.8733525276184082,-0.8733525276184082,3.90118736999464,3.90118736999464
llama31_8b_instruct,5,down_proj,-0.1,dense,1,0.19805355370044708,0.17933502793312073,-0.018718525767326355,-0.018718525767326355,0.8727308919766631,0.8727308919766631,-0.6018095016479492,-0.6018095016479492,3.90118736999464,3.90118736999464
llama31_8b_instruct,5,down_proj,-0.05,dense,1,0.19805355370044708,0.18872621655464172,-0.009327337145805359,-0.009327337145805359,0.9342006068164803,0.9342006068164803,-0.3111414909362793,-0.3111414909362793,3.90118736999464,3.90118736999464
llama31_8b_instruct,5,down_proj,0.0,dense,1,0.19805355370044708,0.19805355370044708,0.0,0.0,1.0,1.0,0.0,0.0,3.90118736999464,3.90118736999464
llama31_8b_instruct,5,down_proj,0.05,dense,1,0.19805355370044708,0.20731671154499054,0.009263157844543457,0.009263157844543457,1.0704339116994088,1.0704339116994088,0.3330564498901367,0.3330564498901367,3.90118736999464,3.90118736999464
