model,projection,alpha,aggregate,depth_bucket,n_layers,gini_base_mean,gini_alpha_mean,delta_gini_mean,top_sv_rel_mean,top_sv_abs_delta_mean,top_to_geomean_base_mean
llama32_3b_instruct,up_proj,0.1,dense,early,10,0.20661654472351074,0.2253621906042099,0.018745645880699158,1.1140278011831577,0.473202109336853,2.966850078415825
llama32_3b_instruct,up_proj,0.1,dense,late,9,0.219859273897277,0.23988104363282522,0.02002176973554823,1.164998033250186,1.5465509096781414,5.2772693401173605
llama32_3b_instruct,up_proj,0.1,dense,middle,9,0.2148875892162323,0.2342515488465627,0.019363959630330402,1.1161861659262826,0.487872838973999,3.0049548645188597
llama32_3b_instruct,up_proj,0.15,dense,early,10,0.20661654472351074,0.23459485322237014,0.027978308498859406,1.1758994835858514,0.7303831100463867,2.966850078415825
llama32_3b_instruct,up_proj,0.15,dense,late,9,0.219859273897277,0.24974897669421303,0.029889702796936035,1.2587213751464863,2.44712151421441,5.2772693401173605
llama32_3b_instruct,up_proj,0.15,dense,middle,9,0.2148875892162323,0.24377936787075466,0.028891778654522367,1.1792581047759896,0.7527539200252957,3.0049548645188597
llama32_3b_instruct,up_proj,0.2,dense,early,10,0.20661654472351074,0.24373363256454467,0.03711708784103394,1.2412580098814425,1.0023610591888428,2.966850078415825
llama32_3b_instruct,up_proj,0.2,dense,late,9,0.219859273897277,0.25952167477872634,0.03966240088144938,1.3609361170239227,3.4458855523003473,5.2772693401173605
llama32_3b_instruct,up_proj,0.2,dense,middle,9,0.2148875892162323,0.2532041437096066,0.038316554493374295,1.2459014573155225,1.0326608816782634,3.0049548645188597
qwen3_8b,down_proj,-0.2,dense,early,12,0.23101976638038954,0.18831325694918633,-0.04270650943120321,0.7099963074058082,-4.071516553560893,6.830225043555553
qwen3_8b,down_proj,-0.2,dense,late,12,0.20369109635551771,0.16577478994925818,-0.03791630640625954,0.7682424603334455,-2.590967535972595,3.9078586775668565
qwen3_8b,down_proj,-0.2,dense,middle,12,0.21237112085024515,0.17192396769920984,-0.04044715315103531,0.7514013522915821,-2.7071675459543862,4.214005631352859
qwen3_8b,down_proj,-0.15,dense,early,12,0.23101976638038954,0.19915969669818878,-0.03186006968220075,0.7726437630130345,-3.2066356341044107,6.830225043555553
qwen3_8b,down_proj,-0.15,dense,late,12,0.20369109635551771,0.1753912220398585,-0.028299874315659206,0.8203980242167818,-2.012498060862223,3.9078586775668565
qwen3_8b,down_proj,-0.15,dense,middle,12,0.21237112085024515,0.1821459742883841,-0.030225146561861038,0.8070102173568787,-2.1022922595342,4.214005631352859
